property_type,sector,society,price,area,price_per_sqft,built_up_area,carpet_area,super_built_up_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,sector 90,dlf regal gardens,1.65,2215.0,7449.21,2214.0,2213.0,2215.0,4,4,3+,15.0,East,Relatively New,0,0,0,0,0,1,158,553.75
flat,sector 37c,apex our homes,0.38,925.0,4108.11,925.0,800.0,,2,2,1,9.0,,Relatively New,0,0,0,0,0,1,65,462.5
flat,sector 33,breeze global heights,0.4,623.0,6420.55,623.0,599.0,,2,2,2,4.0,,Undefined,0,0,0,0,0,1,0,311.5
flat,sector 67,m3m merlin,2.65,2047.0,12945.77,1900.0,1700.0,2047.0,3,3,3,0.0,North-East,Relatively New,0,0,0,0,1,2,174,682.3333333333334
flat,gwal pahari,paras quartier,5.9,5350.0,11028.04,,,5350.0,4,4,3+,19.0,East,New Property,1,1,1,1,0,2,160,1337.5
house,sector 12,independent,0.38,900.0,4222.22,900.0,,,3,3,3,3.0,,Relatively New,0,0,0,0,0,1,0,300.0
flat,sector 67,m3m merlin,3.4,2358.0,14419.0,,1708.0,2358.0,3,4,3,16.0,North-West,Relatively New,0,1,0,0,0,2,174,786.0
flat,sector 113,la vida by tata housing,1.35,965.0,13989.64,1090.0,965.0,1276.0,2,2,3,10.0,North-East,New Property,0,0,0,0,0,1,174,482.5
flat,sector 9a,jammu and kashmir bank employees cghs,0.95,1550.0,6129.03,,,1550.0,3,3,2,5.0,West,Moderately Old,0,0,0,0,1,1,30,516.6666666666666
flat,sector 65,emaar mgf emerald estate,1.73,1395.0,12401.43,,,1395.0,3,3,3,9.0,North-West,Relatively New,0,1,0,0,0,0,159,465.0
flat,sector 84,ss almeria,1.48,2000.0,7400.0,,1294.0,2000.0,3,3,2,1.0,South-West,New Property,0,1,1,0,0,2,139,666.6666666666666
flat,sector 113,la vida by tata housing,2.48,1760.0,14090.91,1980.0,1760.0,2217.0,3,3,3+,8.0,,New Property,0,1,0,0,0,1,79,586.6666666666666
house,sector 8,independent,0.32,450.0,7111.11,450.0,300.0,,2,3,1,1.0,North-East,Relatively New,0,0,0,0,0,1,0,225.0
flat,sector 68,supertech hues,0.93,1080.0,8611.11,,1080.0,,2,2,2,11.0,,Undefined,0,0,0,0,0,1,0,540.0
flat,sector 85,ss the leaf,2.2,3900.0,5641.03,3920.0,3900.0,3950.0,4,6,3,10.0,North-West,Relatively New,0,1,0,0,0,1,174,975.0
flat,sector 37c,imperia the esfera,1.1,2035.0,5405.41,,1760.0,2035.0,3,4,3,9.0,West,Relatively New,1,1,0,0,0,1,49,678.3333333333334
flat,sector 112,experion windchants,3.75,2802.0,13383.3,,,2802.0,3,5,3+,22.0,South-West,Relatively New,0,1,0,0,0,2,49,934.0
flat,sector 99a,conscient habitat,0.35,545.0,6422.02,,545.0,,2,2,1,3.0,North-East,Relatively New,0,0,0,0,0,1,62,272.5
flat,sector 102,conscient heritage max,2.2,2149.0,10237.32,,,2149.0,3,4,3+,9.0,South-East,Moderately Old,1,1,0,0,0,1,125,716.3333333333334
flat,sector 69,unitech sunbreeze,0.75,1095.0,6849.32,,,1095.0,2,2,2,4.0,,Under Construction,0,0,0,0,0,1,0,547.5
flat,sector 50,the close north,2.97,2605.0,11401.15,2600.0,2100.0,2605.0,3,3,3+,8.0,North,Moderately Old,0,1,0,0,0,2,174,868.3333333333334
flat,sector 28,dlf regency park,1.91,1150.0,16608.7,,1150.0,,2,2,2,11.0,,New Property,0,0,0,0,0,0,98,575.0
house,sector 4,independent,0.55,807.0,6815.37,75.0,,,2,1,1,1.0,,Moderately Old,0,0,0,0,0,1,0,403.5
flat,sector 113,m3m capital,1.83,1310.0,13969.47,1310.0,,,2,2,0,7.0,,Undefined,0,0,0,0,0,1,68,655.0
flat,sector 82,vatika india next,0.8,1245.0,6425.7,,1245.0,,2,2,3,9.0,,Undefined,0,0,0,0,0,1,0,622.5
flat,sector 70a,aipl zen residences,1.25,1262.0,9904.91,,1262.0,,2,2,2,19.0,,New Property,0,0,0,0,0,1,42,631.0
flat,sector 37d,signature global city,0.8,950.0,8421.05,,,950.0,2,2,2,2.0,,Under Construction,0,0,0,0,0,1,42,475.0
flat,sector 69,tulip violet,1.75,1970.0,8883.25,,,1970.0,4,4,1,12.0,North-West,Relatively New,0,0,0,0,0,1,86,492.5
flat,sector 88a,godrej oasis,1.29,1654.0,7799.27,,1628.0,1629.0,3,3,3,5.0,,New Property,1,0,0,0,1,1,65,551.3333333333334
flat,sector 33,godrej nature plus,1.25,1385.0,9025.27,,1385.0,,2,2,3+,15.0,,Under Construction,0,0,0,0,0,1,44,692.5
flat,sector 22,ambience creacions,3.99,3090.0,12912.62,,,3090.0,3,5,3+,3.0,,New Property,0,1,0,0,0,0,102,1030.0
flat,sector 83,vatika gurgaon,0.98,1200.0,8166.67,1300.0,1200.0,1445.0,2,2,3,5.0,South,Relatively New,0,0,0,0,0,2,96,600.0
house,sector 4,independent,0.67,783.0,8556.83,783.0,,,3,2,1,1.0,South,Moderately Old,0,0,0,1,1,1,19,261.0
flat,sector 66,emaar the palm drive,3.9,2093.0,18633.54,2200.0,,,3,4,3,2.0,,Relatively New,0,0,0,0,0,1,0,697.6666666666666
flat,sector 69,tulip violet,3.05,3156.0,9664.13,,,3156.0,4,5,3+,14.0,South-West,Relatively New,0,1,0,0,1,1,49,789.0
flat,sector 86,ansal heights 86,0.87,1621.0,5367.06,,,1360.0,2,2,1,12.0,North-East,New Property,0,0,0,0,1,2,45,810.5
flat,sector 106,viridian the plaza 106,0.39,700.0,5571.43,,450.0,700.0,1,1,1,7.0,East,Relatively New,0,0,0,0,0,1,130,700.0
flat,sector 56,kendriya vihar,0.47,605.0,7768.6,,605.0,,1,1,1,3.0,,Old Property,0,0,0,0,0,2,52,605.0
flat,sohna road,mvn athens,0.24,340.0,7058.82,,340.13924000000003,,1,1,1,12.0,West,Relatively New,0,0,0,0,0,1,66,340.0
house,sector 26,independent,8.1,2295.0,35294.12,2295.0,,,5,5,2,4.0,East,Old Property,0,0,0,0,0,1,42,459.0
flat,sector 65,emaar mgf emerald floors premier,2.35,1650.0,14242.42,1650.0,,,3,3,2,4.0,East,Relatively New,1,1,0,0,0,1,165,550.0
house,sector 57,independent,3.3,1728.0,19097.22,1728.0,,,4,4,2,3.0,South-East,Moderately Old,0,0,1,0,0,2,60,432.0
flat,sector 65,emaar mgf emerald floors premier,2.35,1650.0,14242.42,,1650.0,,3,3,3,3.0,East,Relatively New,1,1,0,0,0,2,124,550.0
flat,manesar,hsiidc sidco aravali,0.9,2467.0,3648.16,,,2467.0,4,4,3,7.0,,Moderately Old,0,0,0,0,0,1,0,616.75
flat,sector 70,unitech vistas,0.53,1104.0,4800.72,,,1095.0,2,2,2,9.0,,Under Construction,0,0,0,0,1,1,24,552.0
flat,sector 52,shree kirpalu gi sector 52,1.45,1900.0,7631.58,1800.0,1700.0,1900.0,3,3,3+,7.0,West,Relatively New,0,0,0,0,1,2,108,633.3333333333334
flat,sector 36a,krisumi waterfall residences,2.2,1479.0,14874.92,,,1479.0,2,2,2,23.0,North,New Property,0,0,0,0,0,1,15,739.5
flat,sector 45,unitech greenwood city,2.4,1944.0,12345.68,,,216.0,3,3,2,1.0,North-West,New Property,0,1,0,0,0,2,19,648.0
flat,sector 62,emaar digihomes,4.25,1600.0,26562.5,,1600.0,,3,3,3,8.0,,Under Construction,1,0,0,0,0,1,16,533.3333333333334
flat,sohna road,signature global park,0.68,824.0,8252.43,,824.0,,2,2,2,3.0,,New Property,0,0,0,0,0,1,113,412.0
flat,sohna road,gls arawali homes,0.27,587.0,4599.66,,,576.0,2,2,2,5.0,,New Property,0,0,0,0,0,1,42,293.5
flat,sector 63a,signature global city 63a,2.0,1562.0,12804.1,1540.0,,,3,3,2,1.0,North,Under Construction,0,0,0,0,0,1,36,520.6666666666666
house,sector 46,independent,3.6,1449.0,24844.72,1449.0,,,5,5,3+,3.0,South-East,Moderately Old,0,1,0,0,0,2,75,289.8
house,sector 26,independent,6.0,1800.0,33333.33,1800.0,,,3,5,3+,3.0,,Old Property,0,0,0,0,0,2,9,600.0
flat,sector 63a,signature global city 63a,1.65,1081.0,15263.64,,,1081.0,2,2,2,1.0,,Under Construction,0,0,0,0,0,1,0,540.5
flat,sector 79,bestech altura,2.55,2675.0,9532.71,2675.0,,,4,5,2,4.0,East,New Property,0,1,0,0,0,1,44,668.75
flat,sector 92,sare homes,1.12,2090.0,5358.85,,2090.0,,4,4,2,12.0,North-West,Relatively New,0,1,0,0,0,1,85,522.5
house,sector 26,dlf city phase 1,5.5,1800.0,30555.56,1800.0,,,4,4,3+,2.0,East,Moderately Old,0,0,1,1,0,1,49,450.0
flat,sohna road,eldeco accolade,1.1,1457.0,7549.76,,,1457.0,2,2,3+,17.0,,Relatively New,1,0,0,0,1,2,7,728.5
flat,sector 91,dlf new town heights,1.8,2344.0,7679.18,,2344.0,,4,4,3+,6.0,,Moderately Old,0,1,0,1,0,1,81,586.0
house,sector 48,vipul tatvam villa,7.25,2592.0,27970.68,2592.0,,,3,4,2,2.0,South,Moderately Old,1,1,1,1,0,2,115,864.0
house,sector 2,independent,0.7,900.0,7777.78,900.0,,,1,1,0,1.0,,Undefined,0,0,0,0,0,1,0,900.0
flat,sector 37c,ild greens,0.95,1030.0,9223.3,,1030.0,1340.0,2,2,3+,11.0,South-West,Relatively New,0,0,1,1,0,2,119,515.0
flat,sector 53,parsvnath exotica,5.0,2895.0,17271.16,2500.0,2200.0,2895.0,3,4,3+,8.0,North-East,Relatively New,0,1,0,1,1,2,49,965.0
flat,sector 99a,conscient habitat,0.35,545.0,6422.02,,545.0,,2,2,1,3.0,North-East,Relatively New,0,0,0,0,0,1,62,272.5
flat,sector 90,dlf new town heights,1.25,1930.0,6476.68,1700.0,1500.0,1930.0,3,3,3+,17.0,South-East,Relatively New,0,1,0,1,0,1,65,643.3333333333334
flat,sector 104,ats triumph,1.73,2290.0,7554.59,,,2290.0,3,4,3+,15.0,North-East,Relatively New,0,1,0,0,0,1,159,763.3333333333334
flat,sector 66,emaar mgf the palm drive,2.99,2000.0,14950.0,1800.0,1500.0,2000.0,3,3,3,7.0,East,Relatively New,0,1,0,0,0,2,49,666.6666666666666
flat,sector 52,ramshanti cooperative society,1.76,2430.0,7242.8,,,2430.0,4,4,3+,12.0,,New Property,0,0,0,0,0,1,0,607.5
house,sector 43,independent,8.49,2700.0,31444.44,2700.0,,,3,3,2,4.0,North,Relatively New,0,1,0,1,0,2,21,900.0
flat,sector 48,belgravia resort residences,3.45,1869.0,18459.07,1869.0,,,3,3,3,14.0,West,Undefined,0,0,0,0,0,1,0,623.0
flat,sector 37c,millenia,0.4,600.0,6666.67,,600.0,,2,2,2,4.0,East,New Property,0,0,0,0,0,1,29,300.0
flat,sector 84,alpha corp gurgaonone,1.52,1923.0,7904.32,,1500.0,1923.0,3,4,3,15.0,South,Relatively New,0,1,0,0,0,1,92,641.0
flat,sector 70,shree vardhman victoria,1.5,1950.0,7692.31,,1161.0,1950.0,3,5,3,7.0,South,Relatively New,0,1,0,0,0,2,174,650.0
flat,sector 81,signature global synera,0.48,568.0,8450.7,,568.0,657.0,2,2,1,7.0,South-East,Relatively New,0,0,0,0,0,2,70,284.0
flat,sector 113,la vida by tata housing,2.33,1859.0,12533.62,2098.0,1859.0,2217.0,3,3,3,3.0,North,New Property,0,1,0,0,0,1,174,619.6666666666666
flat,sohna road,mvn athens,0.25,482.0,5186.72,,481.684525,,2,2,1,3.0,East,Relatively New,0,0,0,0,0,1,51,241.0
flat,sector 90,shree vardhman flora,0.92,1950.0,4717.95,,1950.0,,3,3,2,6.0,North,Relatively New,1,0,0,0,0,2,49,650.0
flat,sector 95,signature the roselia,0.48,670.0,7164.18,,670.0,,2,2,2,6.0,,Relatively New,0,0,0,0,0,1,16,335.0
house,sector 23,independent,5.1,3078.0,16569.2,125.0,100.0,,3,2,0,1.0,East,Old Property,0,0,0,0,1,1,27,1026.0
flat,sector 67,bestech park view spa next,2.72,2350.0,11574.47,2250.0,2001.0,2350.0,4,4,3+,0.0,South-West,Relatively New,0,1,0,1,0,2,128,587.5
flat,sector 65,emaar emerald hills,1.95,1400.0,13928.57,,1400.0,,3,3,3+,1.0,North-East,New Property,0,0,1,0,0,2,117,466.6666666666667
flat,sector 85,ss the leaf,1.93,2390.0,8075.31,2400.0,2390.0,2408.0,3,4,3,7.0,North-East,Relatively New,0,1,0,0,0,1,174,796.6666666666666
flat,sector 81,signature global synera,0.5,634.0,7886.44,,634.0,,2,2,1,11.0,East,New Property,0,0,0,0,0,0,97,317.0
flat,sector 81,vipul lavanya,0.6,900.0,6666.67,,900.0,,2,2,1,0.0,East,Relatively New,0,0,0,0,0,1,49,450.0
flat,sector 31,raheja atlantis,5.5,2943.0,18688.41,,,2943.0,4,5,3+,1.0,North,Relatively New,1,1,0,1,0,1,81,735.75
flat,sector 69,tulip violet,2.0,1967.0,10167.77,,1967.0,,4,4,1,12.0,,Relatively New,0,0,0,0,0,1,79,491.75
flat,sector 37d,bptp terra,1.95,1350.0,14444.44,1650.0,1350.0,2191.0,4,3,3,7.0,,Under Construction,0,0,0,0,0,1,53,337.5
flat,sector 90,dlf regal gardens,1.25,1744.0,7167.43,,,1744.0,3,3,2,11.0,East,Relatively New,0,0,0,0,1,1,14,581.3333333333334
flat,sector 33,central park flower valley,2.5,1884.0,13269.64,,1884.0,,3,3,2,1.0,,Undefined,0,0,0,0,0,1,66,628.0
flat,sector 102,shapoorji pallonji joyville,1.1,915.0,12021.86,915.0,700.0,,2,2,1,7.0,,Undefined,0,0,0,0,0,1,0,457.5
flat,sector 81,dlf the ultima,2.3,1575.0,14603.17,,1575.0,2100.0,3,4,3+,27.0,East,Relatively New,0,1,0,0,0,2,119,525.0
flat,sector 67a,ireo the corridors,2.0,1727.0,11580.78,,1017.0,1727.0,3,3,2,6.0,,Under Construction,0,0,0,0,1,1,15,575.6666666666666
flat,sector 84,pivotal devaan,0.34,483.0,7039.34,,483.0,,2,2,1,1.0,East,Relatively New,0,0,1,0,0,2,84,241.5
house,sector 49,eros rosewood city,1.6,4572.0,3499.56,60.0,,,4,4,3,4.0,East,New Property,0,0,0,0,0,2,27,1143.0
flat,sector 90,dlf new town heights,1.6,2364.0,6768.19,,,2364.0,4,4,3+,10.0,West,Relatively New,0,1,0,1,0,1,88,591.0
flat,sector 106,paras dews,1.05,1230.0,8536.59,1345.0,1230.0,1760.0,3,4,3+,10.0,North-East,Relatively New,0,1,0,0,0,1,174,410.0
house,sector 53,independent,4.65,2646.0,17573.7,2646.0,,,5,5,3+,1.0,,Moderately Old,0,0,0,0,0,2,0,529.2
house,sector 25,independent,11.0,3096.0,35529.72,3096.0,,,5,5,3+,2.0,,Relatively New,1,1,1,1,0,1,29,619.2
flat,sector 74,m3m skywalk,2.2,2018.0,10901.88,,,2018.0,3,3,3,12.0,,New Property,1,0,0,0,0,2,15,672.6666666666666
flat,sector 70,tulip orange,1.1,1350.0,8148.15,1350.0,1080.0,,3,2,2,5.0,East,Undefined,0,0,0,0,0,1,0,450.0
flat,sector 61,pioneer park,3.6,2851.0,12627.15,,,2851.0,4,4,3,3.0,North,Moderately Old,0,1,0,0,0,2,121,712.75
flat,sector 95,ramprasta awho,0.92,1750.0,5257.14,1750.0,1600.0,,3,3,3+,13.0,North-East,Undefined,0,0,0,0,0,1,0,583.3333333333334
flat,sector 37c,ild greens,1.05,1400.0,7500.0,1500.0,1400.0,1875.0,3,3,3,4.0,,New Property,0,0,0,0,0,2,5,466.6666666666667
flat,sector 63,baani city center,0.88,804.0,10945.27,804.0,600.0,,1,1,2,4.0,,Undefined,0,0,0,0,0,1,0,804.0
flat,gwal pahari,suncity vatsal valley,1.45,1430.0,10139.86,1430.0,760.0,,3,3,3,4.0,,Under Construction,0,0,0,0,0,1,49,476.6666666666667
house,sector 109,international city by sobha phase 1,5.9,2430.0,24279.84,2430.0,,,4,5,2,2.0,East,Relatively New,0,1,0,0,0,2,111,607.5
flat,sector 85,ss the leaf,1.87,2404.0,7778.7,2225.0,2175.0,2408.0,3,4,3,7.0,North-East,Relatively New,0,0,0,0,0,1,49,801.3333333333334
flat,sector 33,central park flower valley,2.2,2100.0,10476.19,,,2100.0,3,3,3,12.0,North-East,New Property,0,1,0,0,0,2,49,700.0
flat,sector 56,professors enclave cghs,1.54,1850.0,8324.32,1920.0,1850.0,2000.0,3,3,2,6.0,South,Old Property,0,1,0,1,0,2,104,616.6666666666666
flat,sector 83,vatika gurgaon,1.12,1735.0,6455.33,1200.0,1126.0,1735.0,3,3,2,4.0,South-East,Relatively New,1,1,1,1,0,2,165,578.3333333333334
flat,sector 79,mapsko mount ville,1.65,1815.0,9090.91,1815.0,,,3,3,0,12.0,,Undefined,0,0,0,0,0,1,0,605.0
flat,manesar,hsiidc sidco aravali,0.9,2588.0,3477.59,1900.0,,2588.0,3,3,3+,8.0,East,Moderately Old,0,1,0,0,0,1,23,862.6666666666666
flat,sector 84,alpha corp gurgaonone,1.2,1270.0,9448.82,,,1270.0,2,2,1,6.0,South-West,Relatively New,0,0,0,0,0,1,13,635.0
flat,sector 68,supertech hues,1.0,1180.0,8474.58,,1180.0,,2,2,2,12.0,,New Property,0,0,0,0,0,1,54,590.0
flat,sector 82a,dlf the primus,2.7,2576.0,10481.37,,1306.0,2576.0,4,4,3+,18.0,East,Moderately Old,0,1,0,0,0,1,38,644.0
flat,sector 69,tulip violet,1.36,1578.0,8618.5,,1039.0,1578.0,3,3,1,12.0,West,Relatively New,0,0,0,1,0,1,95,526.0
flat,sector 111,puri diplomatic greens,2.58,2200.0,11727.27,,,2200.0,3,4,2,9.0,East,Relatively New,0,1,0,0,0,1,101,733.3333333333334
house,sector 43,independent,5.5,2850.0,19298.25,2850.0,2250.0,,8,7,3+,3.0,East,Moderately Old,1,1,0,1,1,2,123,356.25
flat,sector 37c,corona optus,1.44,1986.0,7250.76,,1990.0,,3,3,3+,8.0,North-West,New Property,0,1,0,0,0,1,37,662.0
flat,sector 107,signature global solera,0.3,489.0,6134.97,,489.0,602.0,2,2,1,5.0,East,Relatively New,0,0,0,0,0,1,57,244.5
house,sector 26,independent,12.5,3240.0,38580.25,3240.0,,,5,5,3+,2.0,North,Old Property,1,1,1,1,0,2,79,648.0
house,sector 70a,bptp pedestal,0.92,1187.0,7750.63,,1187.0,,2,3,3+,3.0,North-East,New Property,0,0,0,0,1,1,153,593.5
house,sector 38,sector 38 rwa,4.3,1494.0,28781.79,165.0,164.0,,3,9,3+,3.0,East,Relatively New,0,0,0,1,1,2,41,498.0
flat,sector 65,emaar mgf emerald floors premier,3.0,1975.0,15189.87,,,1975.0,4,4,3+,2.0,South-East,Relatively New,0,1,0,0,0,1,87,493.75
flat,sector 70a,capital residences 360,1.1,1450.0,7586.21,,,1450.0,2,2,3+,8.0,,New Property,0,0,0,0,0,1,60,725.0
house,sohna road road,independent,6.25,9001.0,6943.67,9000.0,,,3,3,0,1.0,,Moderately Old,0,0,0,0,0,1,0,3000.3333333333335
flat,sector 70,unitech vistas,0.53,1104.0,4800.72,,,1095.0,2,2,2,9.0,,Under Construction,0,0,0,0,1,1,24,552.0
house,sector 26,independent,8.9,2700.0,32962.96,2700.0,,,4,4,3+,2.0,South-East,Old Property,1,1,1,1,0,1,82,675.0
flat,sector 81,dlf the ultima,2.35,2092.0,11233.27,,1100.0,2092.0,3,4,3+,18.0,North,Relatively New,0,1,0,0,0,1,106,697.3333333333334
flat,sector 36a,avl 36 gurgaon,0.75,1000.0,7500.0,,727.0,1000.0,2,2,2,5.0,North-East,Relatively New,0,0,0,0,0,1,26,500.0
flat,sector 104,godrej summit,0.98,1647.0,5950.21,,,1647.0,3,3,3,12.0,East,Relatively New,0,0,0,0,1,1,79,549.0
flat,sector 88a,godrej icon,1.75,1175.0,14893.62,,1175.11,,3,3,3+,6.0,,New Property,0,0,0,0,0,1,55,391.6666666666667
flat,gwal pahari,valley view estate,1.5,1812.0,8278.15,,1812.0,,4,4,3+,9.0,North,Old Property,1,1,0,0,1,1,135,453.0
flat,sector 49,orchid petals,2.51,2061.0,12178.55,,,2061.0,3,3,3+,7.0,East,Old Property,1,0,0,0,0,2,72,687.0
flat,sector 85,orris aster court,0.67,1150.0,5826.09,1250.0,1150.0,1375.0,2,2,2,5.0,North-West,Relatively New,0,0,0,0,1,2,174,575.0
flat,sector 48,parsvnath green ville,3.3,3305.0,9984.87,3305.0,,3905.0,5,5,3+,4.0,,Old Property,0,1,0,0,0,1,71,661.0
flat,sector 89,vatika seven elements,1.6,1960.0,8163.27,,,1960.0,3,3,3,5.0,,New Property,0,0,0,0,0,1,58,653.3333333333334
flat,sector 79,godrej,2.0,2366.0,8453.09,,2366.0,,3,4,3+,2.0,North-East,Relatively New,0,1,0,0,0,2,156,788.6666666666666
house,sector 41,independent,11.0,3240.0,33950.62,3240.0,,,4,4,2,3.0,East,New Property,1,1,0,1,0,1,35,810.0
flat,sector 78,umang monsoon breeze,0.7,1224.0,5718.95,1224.0,,,2,2,2,5.0,,Undefined,0,0,0,0,0,1,0,612.0
house,sector 2,ansals palam vihar,2.68,1557.0,17212.59,1557.0,,,4,3,2,3.0,,Moderately Old,0,0,1,0,0,2,74,389.25
flat,sector 81,signature global city 81,0.89,1075.0,8279.07,,1075.0,,2,2,2,3.0,North,Under Construction,0,0,0,0,1,1,20,537.5
flat,sector 60,ireo skyon,3.75,2800.0,13392.86,,,2800.0,4,5,3,15.0,South,Relatively New,0,1,0,0,0,1,167,700.0
flat,sector 102,shapoorji pallonji joyville gurugram,1.77,1925.0,9194.81,,,1827.0,3,3,3,1.0,North-East,Relatively New,0,0,0,0,0,1,151,641.6666666666666
flat,sector 15,the pearl apartmen,0.43,770.0,5584.42,,770.0,,2,2,1,2.0,,Relatively New,0,0,0,0,0,2,28,385.0
house,sector 105,independent,0.65,720.0,9027.78,720.0,,,3,2,1,1.0,East,Relatively New,0,0,0,1,1,1,14,240.0
flat,sector 99a,prime habitat,0.27,497.0,5432.6,,497.0,,2,2,1,4.0,North-East,New Property,0,0,0,0,0,1,7,248.5
flat,sector 61,smart world orchard,1.6,1150.0,13913.04,,1150.0,,2,2,2,3.0,East,New Property,1,0,0,0,0,1,122,575.0
flat,sector 92,bestech park view sanskruti,1.68,1520.0,11052.63,,1520.0,2120.0,3,4,3+,15.0,East,Relatively New,0,1,0,0,0,2,174,506.6666666666667
house,sector 33,unitech uniworld resorts,10.0,4950.0,20202.02,550.0,,,5,6,3,4.0,North-East,New Property,1,1,0,0,0,1,26,990.0
flat,sector 110,indiabulls enigma,3.6,3400.0,10588.24,,,3400.0,4,5,3,7.0,North,Relatively New,0,1,0,0,0,1,165,850.0
flat,sector 93,spaze privvy the address,1.25,1812.0,6898.45,1350.0,1100.0,1805.0,3,4,2,12.0,North-East,Relatively New,0,0,0,0,0,2,96,604.0
flat,sector 70,shree vardhman victoria,1.75,1950.0,8974.36,1950.0,,,3,4,2,16.0,,Relatively New,0,1,0,1,0,1,49,650.0
flat,sector 61,smart world orchard,1.47,1200.0,12250.0,,1200.0,,2,2,2,2.0,,Under Construction,1,0,0,0,0,1,76,600.0
house,sector 31,independent,4.25,1620.0,26234.57,200.0,180.0,,5,5,3+,3.0,North-East,Moderately Old,0,0,1,1,0,2,56,324.0
flat,sector 47,cghs airport apartment,1.65,2100.0,7857.14,,1720.0,2100.0,3,3,3,1.0,North-East,Old Property,0,0,0,0,1,2,136,700.0
flat,sector 56,smriti apartment,0.45,600.0,7500.0,,,600.0,1,1,2,3.0,,Old Property,0,0,0,0,0,1,57,600.0
flat,sector 107,signature global solera,0.52,645.0,8062.02,,645.0,,3,2,2,5.0,East,Relatively New,0,0,0,0,1,1,15,215.0
flat,sector 104,zara aavaas,0.2,301.0,6644.52,301.0,,,1,1,1,3.0,North-East,Undefined,0,0,0,0,0,1,67,301.0
flat,sector 85,orris aster court,0.93,1640.0,5670.73,1587.0,1250.0,,3,3,3,8.0,,Relatively New,0,0,0,0,0,1,0,546.6666666666666
house,sector 28,independent,11.75,2844.0,41315.05,2844.0,,,4,5,3+,4.0,East,Relatively New,1,1,1,0,0,2,54,711.0
flat,sector 104,puri emerald bay,2.23,2250.0,9911.11,,2250.0,2450.0,3,4,3+,10.0,East,Relatively New,0,1,0,0,0,2,159,750.0
flat,sector 68,m3m ikonic,1.78,1950.0,9128.21,1845.0,1530.0,1950.0,3,3,3+,27.0,South,Relatively New,0,0,0,0,0,2,126,650.0
house,sector 49,ss aaron ville,6.75,3420.0,19736.84,3420.0,,,5,4,2,2.0,North,Old Property,1,1,1,0,0,1,78,684.0
flat,sector 92,ansal heights,0.72,1600.0,4500.0,1700.0,1600.0,1935.0,3,3,3,9.0,South-West,Relatively New,0,1,0,0,0,1,49,533.3333333333334
flat,sector 52,pgr shree kripaluji apartment,1.4,2300.0,6086.96,,2300.0,,3,3,3+,8.0,North-East,Relatively New,0,0,0,0,0,2,80,766.6666666666666
flat,sector 109,ats kocoon,2.2,2095.0,10501.19,1860.0,,2095.0,3,4,3,13.0,West,Relatively New,0,1,0,0,0,1,165,698.3333333333334
flat,sector 84,antriksh heights,0.49,1125.0,4355.56,,,1125.0,2,2,2,16.0,East,Relatively New,0,0,0,0,0,1,66,562.5
flat,sector 54,dlf the belaire,10.0,4072.0,24557.96,3000.0,2800.0,4072.0,4,5,3+,17.0,North,Moderately Old,0,1,0,0,0,0,167,1018.0
flat,sector 83,emaar palm gardens,1.75,1900.0,9210.53,1600.0,1240.04,1900.0,3,3,3,6.0,East,Relatively New,0,1,0,0,0,2,174,633.3333333333334
flat,sohna road,eldeco accolade,0.72,1255.0,5737.05,,1264.0,,2,2,3,8.0,West,Relatively New,0,0,0,0,0,1,153,627.5
flat,sector 54,sunischit apartments,1.75,2200.0,7954.55,1900.0,1700.0,2200.0,3,4,3+,5.0,East,Moderately Old,0,1,0,0,0,2,83,733.3333333333334
flat,sector 102,shapoorji pallonji joyville gurugram,1.1,903.0,12181.62,,,903.0,2,2,1,8.0,,Under Construction,0,0,0,0,0,1,105,451.5
flat,sector 3,godrej habitat,1.2,1444.0,8310.25,,,1444.0,2,2,3,0.0,,Under Construction,0,0,0,0,0,1,60,722.0
flat,sohna road,signature global park,0.54,745.0,7248.32,,745.0,,2,1,3,1.0,,New Property,0,0,0,0,0,1,65,372.5
flat,sector 85,ss the leaf,1.77,2408.0,7350.5,,,2408.0,3,4,3+,7.0,South-West,New Property,0,0,1,0,0,1,107,802.6666666666666
house,sector 105,independent,0.6,450.0,13333.33,450.0,,,3,3,0,3.0,,Undefined,0,0,0,0,0,1,0,150.0
flat,sector 57,ansal sushant residency,1.5,2214.0,6775.07,,246.0,,3,2,3+,1.0,,Moderately Old,0,0,0,0,0,1,87,738.0
flat,sector 71,chd avenue,1.15,1762.0,6526.67,,1339.0,1762.0,3,3,2,15.0,East,Moderately Old,0,1,0,0,0,2,66,587.3333333333334
flat,sector 109,ats tourmaline,1.4,1750.0,8000.0,,,1750.0,3,3,3+,9.0,East,Relatively New,0,0,0,0,0,1,95,583.3333333333334
flat,sector 88b,vatika xpressions,0.92,1350.0,6814.81,1350.0,1120.0,,2,2,3,3.0,,New Property,0,0,0,0,0,1,26,675.0
flat,sector 67a,pyramid urban,0.56,706.0,7932.01,,700.0,,2,2,2,0.0,North-East,Relatively New,0,0,0,0,1,1,49,353.0
flat,sector 70a,capital residences 360,1.18,1450.0,8137.93,1400.0,1000.0,1450.0,2,2,3,7.0,East,New Property,0,0,0,1,0,1,140,725.0
